	MG1655-1	23BD2-4_1	23BD4-3_1	23BD6-1_1	23BD7-4_1	metJ-1	relA-1	purT-1	MG1655-2	23BD2-4_2	23BD4-3_2	23BD6-1_2	23BD7-4_2	metJ-2	relA-2	purT-2	MG1655-3	23BD2-4_3	23BD4-3_3	23BD6-1_3	23BD7-4_3	metJ-3	relA-3	purT-3	fabR-1	clsA-1	yfgF-1	treA-1	acrB-1	metJ-lg-1	metJ-sm-1	fabR-2	clsA-2	yfgF-2	treA-2	acrB-2	metJ-lg-2	metJ-sm-2	fabR-3	clsA-3	yfgF-3	treA-3	acrB-3	metJ-lg-3	metJ-sm-3
1.67174	0.43	0.0	0.266	0.072	0.455	0.499	0.538	0.578	0.04	0.116	0.216	0.068	0.121	0.204	0.551	0.578	0.116	0.073	0.413	0.143	0.121	0.273	0.4	0.543	0.027	0.146	0.098	0.402	0.124	0.149	0.257	0.095	0.26	0.352	0.042	0.17	0.045	0.433	0.158	0.238	0.467	0.426	0.452	0.143	0.174
1.83838	0.466	0.07	0.249	0.135	0.349	0.593	0.58	0.593	0.12	0.202	0.11	0.075	0.101	0.183	0.578	0.614	0.169	0.19	0.282	0.153	0.214	0.253	0.431	0.713	0.086	0.209	0.161	0.466	0.159	0.125	0.313	0.075	0.239	0.359	0.106	0.206	0.161	0.468	0.277	0.041	0.362	0.487	0.43	0.123	0.238
2.00501	0.449	0.099	0.283	0.092	0.56	0.602	0.552	0.592	0.156	0.17	0.209	0.118	0.141	0.197	0.637	0.682	0.035	0.181	0.404	0.188	0.252	0.349	0.482	0.654	0.08	0.224	0.205	0.477	0.117	0.088	0.229	0.115	0.28	0.233	0.148	0.162	0.042	0.425	0.152	0.126	0.404	0.45	0.502	0.136	0.307
2.17181	0.441	0.085	0.301	0.057	0.441	0.536	0.65	0.549	0.188	0.112	0.174	0.112	0.133	0.162	0.61	0.618	0.067	0.12	0.339	0.037	0.271	0.228	0.422	0.68	0.077	0.189	0.143	0.497	0.081	0.084	0.229	0.164	0.217	0.141	0.084	0.126	0.067	0.475	0.09	0.126	0.424	0.474	0.496	0.157	0.214
2.33839	0.372	0.063	0.325	0.125	0.507	0.583	0.601	0.642	0.02	0.16	0.184	0.036	0.175	0.228	0.676	0.632	0.153	0.178	0.216	0.117	0.26	0.328	0.419	0.531	0.074	0.17	0.206	0.428	0.093	0.113	0.242	0.149	0.229	0.348	0.151	0.14	0.176	0.457	0.125	0.363	0.352	0.419	0.363	0.085	0.228
2.50505	0.443	0.094	0.278	0.086	0.469	0.596	0.603	0.672	0.145	0.133	0.286	0.083	0.191	0.19	0.627	0.648	0.137	0.257	0.313	0.098	0.246	0.343	0.473	0.673	0.128	0.217	0.254	0.415	0.138	0.221	0.388	0.137	0.33	0.198	0.197	0.156	0.062	0.672	0.145	0.454	0.397	0.555	0.41	0.129	0.215
2.67178	0.472	0.003	0.247	0.06	0.529	0.652	0.653	0.72	0.024	0.117	0.178	0.059	0.221	0.25	0.699	0.622	0.1	0.18	0.342	0.124	0.246	0.316	0.426	0.544	0.024	0.193	0.147	0.416	0.0	0.088	0.206	0.167	0.276	0.258	0.285	0.186	0.1	0.535	0.122	0.497	0.428	0.393	0.5	0.104	0.302
2.83851	0.417	0.047	0.367	0.142	0.525	0.683	0.613	0.738	0.047	0.098	0.174	0.054	0.192	0.19	0.616	0.705	0.067	0.114	0.4	0.159	0.305	0.344	0.356	0.637	0.038	0.272	0.224	0.445	0.082	0.133	0.35	0.11	0.246	0.282	0.113	0.213	0.029	0.503	0.143	0.415	0.453	0.439	0.465	0.186	0.273
3.00522	0.453	0.073	0.399	0.209	0.648	0.661	0.695	0.707	0.077	0.147	0.213	0.122	0.285	0.285	0.557	0.686	0.04	0.1	0.323	0.163	0.34	0.353	0.401	0.771	0.0	0.228	0.265	0.424	0.064	0.092	0.206	0.203	0.284	0.208	0.264	0.166	0.075	0.542	0.156	0.637	0.492	0.454	0.562	0.168	0.197
3.17174	0.436	0.017	0.405	0.138	0.55	0.642	0.582	0.734	0.0	0.2	0.284	0.138	0.27	0.327	0.729	0.642	0.019	0.288	0.389	0.311	0.35	0.393	0.452	0.627	0.134	0.215	0.169	0.464	0.162	0.196	0.263	0.188	0.382	0.364	0.194	0.122	0.097	0.499	0.2	0.329	0.505	0.417	0.437	0.181	0.266
3.33844	0.509	0.017	0.399	0.209	0.677	0.802	0.638	0.707	0.077	0.147	0.241	0.122	0.37	0.369	0.642	0.686	0.125	0.1	0.492	0.248	0.481	0.296	0.486	0.658	0.0	0.256	0.181	0.34	0.205	0.148	0.318	0.203	0.284	0.236	0.264	0.166	0.159	0.542	0.071	0.384	0.379	0.398	0.421	0.168	0.282
3.50526	0.466	0.124	0.346	0.197	0.724	0.812	0.688	0.727	0.274	0.24	0.316	0.199	0.47	0.359	0.688	0.672	0.321	0.154	0.588	0.225	0.549	0.451	0.574	0.695	0.143	0.304	0.287	0.494	0.193	0.176	0.305	0.218	0.328	0.396	0.282	0.35	0.22	0.616	0.319	0.4	0.537	0.537	0.499	0.297	0.381
3.67192	0.446	0.025	0.357	0.148	0.618	0.68	0.645	0.741	0.072	0.213	0.21	0.149	0.449	0.281	0.715	0.624	0.12	0.131	0.399	0.236	0.473	0.403	0.464	0.668	0.118	0.282	0.321	0.446	0.088	0.208	0.305	0.198	0.308	0.29	0.119	0.245	0.194	0.566	0.211	0.428	0.544	0.457	0.561	0.276	0.248
3.83858	0.431	0.078	0.405	0.272	0.74	0.668	0.643	0.796	0.116	0.183	0.389	0.27	0.574	0.376	0.68	0.693	0.079	0.108	0.667	0.366	0.6	0.444	0.494	0.695	0.177	0.263	0.216	0.487	0.212	0.184	0.328	0.21	0.347	0.328	0.271	0.201	0.139	0.52	0.163	0.619	0.499	0.462	0.513	0.174	0.289
4.0051	0.383	0.063	0.387	0.279	0.747	0.733	0.713	0.782	0.056	0.157	0.311	0.248	0.525	0.299	0.622	0.729	0.104	0.0	0.423	0.32	0.636	0.452	0.413	0.584	0.124	0.213	0.25	0.411	0.134	0.076	0.356	0.19	0.326	0.278	0.194	0.18	0.142	0.668	0.085	0.505	0.478	0.382	0.575	0.238	0.268
4.17197	0.434	0.108	0.408	0.36	0.772	0.755	0.617	0.714	0.177	0.188	0.336	0.33	0.634	0.408	0.6	0.752	0.0	0.168	0.501	0.369	0.603	0.475	0.498	0.7	0.096	0.351	0.276	0.434	0.159	0.16	0.389	0.242	0.379	0.303	0.274	0.12	0.256	0.637	0.167	0.539	0.502	0.409	0.573	0.262	0.32
4.33854	0.6	0.106	0.461	0.356	0.937	0.808	0.784	0.796	0.116	0.24	0.417	0.467	0.715	0.404	0.595	0.664	0.135	0.164	0.611	0.366	0.6	0.472	0.607	0.695	0.092	0.263	0.273	0.347	0.155	0.184	0.384	0.21	0.291	0.3	0.271	0.341	0.139	0.633	0.191	0.224	0.47	0.377	0.429	0.259	0.458
4.5052	0.407	0.152	0.415	0.328	0.907	0.786	0.662	0.815	0.115	0.169	0.331	0.352	0.659	0.404	0.658	0.779	0.079	0.13	0.447	0.375	0.772	0.475	0.512	0.708	0.026	0.262	0.297	0.519	0.184	0.177	0.392	0.184	0.32	0.271	0.215	0.147	0.157	0.633	0.132	0.289	0.555	0.399	0.426	0.176	0.263
4.67192	0.499	0.094	0.531	0.423	0.863	0.793	0.631	0.841	0.089	0.218	0.399	0.392	0.782	0.471	0.74	0.732	0.025	0.089	0.651	0.436	0.977	0.54	0.473	0.673	0.128	0.245	0.198	0.471	0.138	0.249	0.388	0.306	0.273	0.282	0.197	0.24	0.203	0.784	0.229	0.594	0.622	0.526	0.579	0.326	0.356
4.83858	0.511	0.166	0.545	0.49	1.013	0.974	0.704	0.829	0.119	0.28	0.381	0.458	0.876	0.566	0.715	0.799	0.195	0.21	0.578	0.505	0.876	0.579	0.537	0.651	0.051	0.227	0.348	0.483	0.177	0.229	0.421	0.26	0.341	0.264	0.123	0.139	0.126	0.598	0.211	0.43	0.379	0.282	0.533	0.14	0.367
5.00535	0.411	0.232	0.725	0.504	1.028	0.958	0.713	0.866	0.056	0.241	0.395	0.473	0.722	0.552	0.65	0.729	0.132	0.141	0.591	0.602	0.974	0.536	0.582	0.668	0.039	0.298	0.335	0.496	0.191	0.217	0.552	0.218	0.354	0.307	0.278	0.152	0.227	0.753	0.169	0.365	0.45	0.438	0.575	0.21	0.297
5.17185	0.406	0.193	0.633	0.529	1.138	0.924	0.786	0.883	0.093	0.357	0.561	0.471	0.887	0.605	0.769	0.752	0.141	0.196	0.783	0.679	0.913	0.56	0.611	0.784	0.153	0.267	0.389	0.491	0.243	0.273	0.417	0.157	0.351	0.388	0.162	0.345	0.341	0.777	0.111	0.624	0.615	0.494	0.601	0.178	0.461
5.33856	0.415	0.15	0.559	0.536	1.257	0.961	0.716	0.925	0.089	0.33	0.483	0.561	1.063	0.584	0.796	0.816	0.053	0.173	0.848	0.576	1.09	0.596	0.642	0.814	0.128	0.301	0.282	0.471	0.194	0.249	0.613	0.193	0.358	0.31	0.366	0.353	0.231	0.7	0.06	0.172	0.481	0.386	0.635	0.242	0.441
5.5053	0.557	0.285	0.67	0.709	1.29	1.075	0.709	0.805	0.109	0.37	0.488	0.736	0.982	0.616	0.784	0.706	0.157	0.349	0.793	0.716	1.12	0.655	0.539	0.797	0.081	0.362	0.372	0.501	0.254	0.37	0.572	0.252	0.389	0.342	0.37	0.355	0.269	0.816	0.206	0.384	0.569	0.337	0.612	0.329	0.415
5.67193	0.537	0.27	0.737	0.743	1.493	1.055	0.638	0.848	0.105	0.428	0.551	0.741	1.271	0.594	0.754	0.742	0.125	0.241	0.773	0.698	1.184	0.719	0.57	0.827	0.084	0.34	0.293	0.509	0.205	0.317	0.572	0.288	0.453	0.236	0.208	0.363	0.328	0.767	0.24	0.384	0.548	0.482	0.478	0.252	0.394
5.83876	0.554	0.282	0.751	0.705	1.568	1.071	0.707	0.944	0.132	0.422	0.597	0.732	1.204	0.612	0.751	0.759	0.151	0.261	0.846	0.77	1.37	0.707	0.535	0.793	0.105	0.274	0.397	0.413	0.166	0.281	0.427	0.22	0.386	0.31	0.31	0.295	0.265	0.813	0.09	0.408	0.481	0.333	0.496	0.269	0.524
6.00542	0.544	0.331	0.63	0.835	1.5	1.146	0.784	1.049	0.116	0.493	0.614	0.833	1.362	0.658	0.82	1.002	0.22	0.362	0.836	0.845	1.473	0.697	0.494	0.611	0.092	0.319	0.442	0.516	0.324	0.269	0.469	0.21	0.375	0.215	0.299	0.257	0.308	0.887	0.163	0.478	0.499	0.321	0.485	0.259	0.514
6.17198	0.603	0.277	0.83	0.839	1.673	1.15	0.814	0.939	0.121	0.526	0.702	0.893	1.619	0.746	0.769	0.781	0.141	0.337	0.868	0.848	1.702	0.701	0.583	0.84	0.181	0.323	0.473	0.519	0.215	0.357	0.586	0.298	0.294	0.331	0.303	0.373	0.256	1.031	0.195	0.398	0.474	0.55	0.573	0.347	0.405
6.33873	0.496	0.345	0.669	0.954	1.815	1.155	0.685	0.923	0.14	0.466	0.592	0.895	1.509	0.636	0.819	0.672	0.047	0.225	0.901	0.855	1.677	0.677	0.553	0.809	0.039	0.326	0.335	0.468	0.219	0.329	0.524	0.218	0.326	0.363	0.194	0.321	0.199	0.865	0.169	0.421	0.534	0.382	0.463	0.323	0.493
6.5054	0.547	0.503	0.915	0.923	1.927	1.262	0.899	0.939	0.093	0.413	0.674	0.978	1.873	0.69	0.656	0.752	0.084	0.281	1.121	1.045	1.983	0.785	0.611	0.756	0.096	0.351	0.389	0.519	0.3	0.357	0.586	0.298	0.379	0.331	0.274	0.373	0.341	0.946	0.111	0.229	0.558	0.409	0.517	0.347	0.517
6.67197	0.443	0.488	0.925	0.958	2.129	1.215	0.688	0.953	0.061	0.499	0.821	1.124	1.907	0.893	0.74	0.816	0.137	0.398	1.073	0.998	2.102	0.849	0.586	0.898	0.212	0.301	0.451	0.555	0.279	0.418	0.642	0.418	0.499	0.451	0.338	0.24	0.315	0.869	0.229	0.763	0.481	0.442	0.495	0.467	0.384
6.83873	0.443	0.488	1.009	1.155	2.185	1.158	0.8	1.037	0.089	0.499	0.68	1.068	2.019	0.921	0.796	0.76	0.137	0.342	1.157	1.083	2.131	0.849	0.67	0.842	0.156	0.329	0.338	0.471	0.222	0.39	0.613	0.277	0.358	0.366	0.338	0.184	0.315	0.84	0.173	0.51	0.537	0.442	0.579	0.326	0.441
7.00537	0.554	0.536	1.033	1.184	2.47	1.381	0.791	0.972	0.188	0.704	0.851	1.183	2.387	0.95	0.92	0.787	0.151	0.43	1.212	1.136	2.469	0.905	0.676	0.793	0.246	0.33	0.537	0.525	0.25	0.45	0.652	0.305	0.357	0.423	0.282	0.436	0.349	0.954	0.203	0.408	0.565	0.389	0.665	0.438	0.524
7.17207	0.516	0.613	1.109	1.229	2.88	1.428	0.728	1.049	0.172	0.662	0.868	1.171	2.714	0.911	0.82	0.693	0.135	0.587	1.258	1.267	2.909	0.894	0.607	0.864	0.149	0.348	0.47	0.572	0.296	0.41	0.638	0.323	0.375	0.3	0.299	0.37	0.421	0.943	0.163	0.365	0.499	0.49	0.569	0.315	0.598
7.33872	0.61	0.649	1.09	1.184	2.921	1.381	0.819	1.028	0.132	0.929	0.879	1.267	3.007	1.007	0.863	0.787	0.179	0.542	1.269	1.277	3.033	1.074	0.62	0.934	0.161	0.33	0.537	0.525	0.307	0.45	0.737	0.305	0.357	0.395	0.366	0.295	0.434	0.982	0.09	0.464	0.509	0.417	0.581	0.41	0.524
7.50549	0.469	0.649	1.09	1.269	3.343	1.438	0.876	0.972	0.103	0.845	1.02	1.352	3.007	1.035	0.779	0.844	0.179	0.627	1.353	1.361	3.258	0.989	0.591	0.878	0.077	0.358	0.481	0.525	0.391	0.535	0.68	0.248	0.47	0.31	0.31	0.38	0.406	1.066	0.259	0.239	0.565	0.474	0.581	0.326	0.609
7.67209	0.648	0.825	1.211	1.421	3.694	1.476	0.826	1.063	0.148	0.859	1.144	1.392	3.809	1.102	0.935	0.854	0.167	0.611	1.448	1.54	3.862	1.084	0.548	0.806	0.202	0.341	0.492	0.62	0.43	0.462	0.864	0.343	0.311	0.321	0.461	0.475	0.447	1.049	0.214	0.563	0.632	0.486	0.62	0.364	0.619
7.83874	0.539	0.828	1.186	1.424	4.149	1.564	0.885	0.981	0.125	0.948	1.204	1.368	3.474	1.134	0.855	0.801	0.116	0.812	1.48	1.487	3.866	1.031	0.552	0.811	0.206	0.345	0.412	0.511	0.321	0.523	0.756	0.347	0.371	0.353	0.465	0.535	0.535	1.053	0.189	0.596	0.495	0.518	0.595	0.452	0.651
8.00551	0.64	1.067	1.371	1.471	4.34	1.637	0.925	1.049	0.321	1.253	1.251	1.754	4.342	1.238	0.908	0.903	0.199	0.974	1.638	1.559	4.253	1.105	0.629	1.003	0.283	0.363	0.6	0.612	0.423	0.628	0.724	0.42	0.417	0.427	0.342	0.382	0.529	1.099	0.208	0.762	0.682	0.594	0.557	0.555	0.64
8.17223	0.535	1.051	1.381	1.618	4.935	1.645	0.826	1.092	0.204	1.422	1.115	1.561	4.598	1.272	0.765	0.769	0.111	1.034	1.645	1.709	4.68	1.084	0.548	0.891	0.117	0.369	0.577	0.535	0.514	0.519	0.751	0.343	0.311	0.406	0.32	0.39	0.531	1.077	0.214	0.676	0.66	0.514	0.676	0.505	0.732
8.3388	0.65	1.329	1.493	1.737	5.003	1.732	0.848	1.169	0.168	1.521	1.573	1.681	5.089	1.221	0.81	0.828	0.158	1.071	1.846	1.767	5.027	1.144	0.642	0.988	0.155	0.459	0.583	0.565	0.433	0.555	0.795	0.261	0.343	0.438	0.352	0.393	0.57	1.025	0.162	0.635	0.607	0.437	0.569	0.48	0.678
8.50552	0.67	1.543	1.766	1.873	6.162	1.61	0.862	1.184	0.2	1.719	1.596	1.79	5.511	1.413	1.037	0.934	0.19	1.209	2.122	1.9	5.788	1.25	0.611	0.874	0.152	0.396	0.634	0.557	0.37	0.665	0.852	0.395	0.42	0.46	0.43	0.442	0.567	1.132	0.269	0.467	0.572	0.545	0.761	0.643	0.699
8.67225	0.532	1.63	1.883	1.877	6.591	1.84	0.865	1.186	0.205	1.894	1.628	1.936	6.081	1.247	0.958	0.767	0.167	1.382	2.125	1.761	6.217	1.169	0.615	0.963	0.156	0.315	0.553	0.56	0.458	0.612	0.772	0.228	0.367	0.407	0.462	0.417	0.515	1.136	0.16	0.5	0.462	0.549	0.566	0.505	0.788
8.8388	0.539	1.976	1.946	2.111	7.478	1.705	0.785	1.134	0.159	2.158	1.834	2.029	6.685	1.424	0.883	0.831	0.263	1.702	2.302	1.994	6.565	1.26	0.595	0.887	0.164	0.35	0.533	0.595	0.494	0.677	0.782	0.32	0.289	0.471	0.441	0.367	0.495	1.143	0.252	0.594	0.469	0.388	0.574	0.512	0.766
9.00556	0.549	2.296	2.21	2.264	7.748	1.942	0.764	1.113	0.147	2.399	1.846	2.069	7.634	1.634	0.954	0.841	0.194	1.743	2.483	2.146	7.768	1.441	0.552	0.986	0.177	0.446	0.544	0.69	0.419	0.633	0.853	0.472	0.385	0.482	0.565	0.604	0.678	1.211	0.264	0.269	0.593	0.513	0.67	0.608	0.89
9.17229	0.522	2.527	2.043	2.289	8.47	1.943	0.858	1.179	0.302	2.53	2.041	2.348	7.792	1.518	0.943	0.757	0.18	1.85	2.482	2.232	8.182	1.412	0.687	1.006	0.172	0.417	0.627	0.663	0.476	0.741	0.927	0.388	0.357	0.396	0.452	0.491	0.672	1.351	0.262	0.542	0.706	0.481	0.725	0.579	0.862
9.33891	0.529	2.872	2.304	2.495	9.131	2.006	0.834	1.099	0.143	3.218	2.077	2.582	8.594	1.639	0.924	0.764	0.19	2.142	2.659	2.409	8.673	1.42	0.611	1.015	0.152	0.396	0.634	0.642	0.455	0.693	0.994	0.395	0.42	0.488	0.6	0.498	0.652	1.189	0.241	0.552	0.629	0.489	0.676	0.671	0.869
9.50554	0.504	3.045	2.477	2.669	10.579	2.01	0.865	1.13	0.233	3.591	2.42	2.756	9.929	1.699	0.929	0.824	0.196	2.429	3.087	2.553	8.791	1.508	0.587	1.105	0.269	0.343	0.695	0.673	0.402	0.754	0.942	0.285	0.339	0.548	0.377	0.445	0.685	1.277	0.245	0.726	0.632	0.493	0.736	0.731	0.957
9.67218	0.555	3.551	2.641	2.883	11.229	2.088	0.841	1.162	0.152	3.765	2.606	2.855	9.931	1.576	0.823	0.874	0.312	2.724	3.134	2.773	10.661	1.444	0.573	1.059	0.199	0.448	0.572	0.64	0.62	0.712	1.034	0.42	0.389	0.54	0.342	0.467	0.613	1.41	0.151	0.536	0.653	0.453	0.699	0.639	0.894
9.83892	0.597	4.157	2.796	3.069	12.212	2.187	0.85	1.115	0.173	4.662	2.735	3.07	11.535	1.705	0.984	0.832	0.135	3.25	3.234	2.9	10.654	1.628	0.646	0.936	0.216	0.406	0.7	0.71	0.55	0.757	1.139	0.349	0.431	0.527	0.582	0.566	0.744	1.34	0.251	0.471	0.696	0.441	0.572	0.71	0.908
10.00553	0.587	4.627	3.012	3.339	12.449	2.205	0.815	1.193	0.242	4.9	2.836	3.424	12.506	1.919	0.885	0.878	0.204	3.406	3.477	3.229	12.191	1.617	0.492	1.177	0.288	0.451	0.604	0.7	0.624	0.886	1.039	0.339	0.392	0.431	0.43	0.471	0.702	1.357	0.296	0.513	0.685	0.626	0.702	0.728	0.897
10.1722	0.61	4.903	3.203	3.607	13.938	2.48	0.819	1.254	0.216	5.466	3.02	3.606	13.405	1.796	0.92	0.787	0.264	3.614	3.776	3.447	14.107	1.694	0.591	0.962	0.246	0.443	0.706	0.61	0.56	0.929	1.018	0.446	0.386	0.508	0.451	0.605	0.744	1.461	0.203	0.549	0.565	0.502	0.665	0.664	0.975
10.33903	0.668	5.584	3.488	3.843	14.927	2.455	0.813	1.247	0.236	5.798	3.086	4.013	14.025	1.943	0.964	0.874	0.284	4.305	4.094	3.592	14.726	1.613	0.629	1.087	0.142	0.363	0.656	0.696	0.508	0.91	1.119	0.42	0.389	0.512	0.398	0.495	0.783	1.41	0.321	0.536	0.653	0.368	0.642	0.724	1.007
10.50563	0.575	6.198	3.99	4.151	16.408	2.646	0.912	1.29	0.212	6.34	3.535	4.435	16.351	2.051	0.938	0.81	0.174	4.701	4.372	3.868	15.95	1.663	0.655	1.115	0.167	0.47	0.708	0.745	0.529	0.991	1.149	0.441	0.438	0.477	0.618	0.516	0.978	1.545	0.315	0.48	0.703	0.364	0.721	0.745	1.085
10.67228	0.474	6.632	3.689	4.581	16.994	2.515	0.9	1.278	0.185	6.905	3.768	4.723	16.516	2.201	0.913	0.878	0.204	5.185	4.691	4.273	16.426	1.871	0.718	0.922	0.316	0.395	0.745	0.615	0.68	0.971	1.152	0.424	0.336	0.431	0.515	0.471	0.9	1.526	0.296	0.541	0.6	0.429	0.787	0.84	1.152
10.83897	0.594	7.063	4.29	5.07	18.59	2.551	0.848	1.198	0.168	7.453	3.946	5.156	17.744	2.209	0.923	0.659	0.158	5.223	4.953	4.535	17.315	1.963	0.642	1.157	0.296	0.374	0.781	0.622	0.631	0.979	1.247	0.487	0.399	0.438	0.494	0.675	0.824	1.506	0.247	0.353	0.551	0.465	0.569	0.791	1.187
11.00571	0.569	7.83	4.322	5.357	19.925	2.554	0.822	1.341	0.343	7.855	4.148	5.584	18.966	2.467	0.843	0.916	0.248	5.963	5.296	5.217	18.678	1.967	0.731	1.077	0.244	0.321	0.785	0.738	0.55	1.068	1.167	0.377	0.431	0.527	0.667	0.679	0.998	1.538	0.166	0.612	0.554	0.469	0.629	0.851	1.247
11.17234	0.595	8.23	4.436	5.818	19.958	2.696	0.756	1.304	0.301	8.865	4.664	6.302	19.986	2.499	0.883	0.831	0.291	6.428	5.557	5.447	20.036	2.109	0.595	1.114	0.278	0.435	0.787	0.652	0.635	1.016	1.348	0.462	0.374	0.584	0.611	0.509	0.92	1.568	0.281	0.566	0.639	0.557	0.744	0.88	1.106
11.33896	0.605	8.61	4.702	6.568	22.105	2.848	0.792	1.283	0.317	9.309	4.791	6.628	21.736	2.596	0.954	0.756	0.364	6.699	5.853	5.856	21.445	2.177	0.636	1.127	0.262	0.531	0.799	0.775	0.759	1.057	1.391	0.614	0.385	0.595	0.565	0.689	1.046	1.579	0.349	0.751	0.593	0.569	0.698	0.976	1.23
11.50571	0.617	9.919	5.108	6.997	24.186	2.943	0.921	1.441	0.29	10.012	4.91	7.084	22.347	2.435	0.929	0.909	0.337	7.493	5.916	6.457	22.822	2.187	0.672	1.218	0.184	0.428	0.864	0.673	0.798	0.952	1.366	0.511	0.367	0.746	0.632	0.7	0.939	1.617	0.188	0.585	0.632	0.663	0.764	0.986	1.212
11.67228	0.634	10.819	5.353	7.333	25.135	2.961	0.848	1.368	0.317	10.526	5.131	7.591	23.661	2.71	0.898	0.784	0.307	7.746	6.306	7.017	23.173	2.206	0.693	1.156	0.29	0.361	0.827	0.577	0.844	1.114	1.448	0.472	0.215	0.482	0.622	0.632	0.933	1.664	0.264	0.354	0.593	0.485	0.67	1.004	1.202
11.83914	0.738	10.344	5.649	8.126	24.757	3.091	0.85	1.426	0.427	11.019	5.419	8.466	25.238	2.75	1.013	0.832	0.418	8.477	6.766	7.279	24.894	2.165	0.675	1.162	0.216	0.462	0.841	0.71	0.635	1.153	1.563	0.377	0.346	0.696	0.441	0.763	0.97	1.764	0.251	0.697	0.611	0.525	0.798	1.021	1.275
