	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
0.00478	0.037	0.065	0.008	0.062	0.235	0.087	0.0	0.0	0.155	0.084	0.034	0.159	0.033	0.0	0.0	0.0	0.0	0.13	0.0	0.091	0.043	0.0	0.0	0.0	0.101	0.159	0.113	0.0	0.116	0.112	0.0	1.007	0.31	0.11	0.0	0.0	0.098	0.0	0.0	0.266	0.091	0.0	0.0	0.107	0.115
0.17134	0.0	0.0	0.0	0.0	0.029	0.0	0.233	0.383	0.0	0.0	0.0	0.0	0.0	0.045	0.158	0.335	0.114	0.053	0.016	0.0	0.055	0.096	0.049	0.022	0.0	0.0	0.0	0.041	0.0	0.0	0.048	0.0	0.02	0.0	0.016	0.018	0.0	0.049	0.067	0.0	0.013	0.001	0.051	0.0	0.168
0.33817	0.13	0.071	0.167	0.107	0.0	0.165	0.28	0.46	0.127	0.097	0.09	0.084	0.144	0.109	0.225	0.658	0.341	0.258	0.038	0.128	0.013	0.177	0.073	0.125	0.211	0.086	0.115	0.197	0.077	0.25	0.228	0.105	0.0	0.152	0.095	0.051	0.092	0.071	0.052	0.133	0.0	0.253	0.082	0.032	0.046
0.50479	0.192	0.122	0.053	0.147	0.135	0.32	0.482	0.629	0.312	0.133	0.195	0.056	0.17	0.133	0.264	0.637	0.584	0.251	0.257	0.132	0.0	0.109	0.171	0.25	0.215	0.143	0.19	0.339	0.164	0.252	0.241	0.211	0.11	0.19	0.267	0.258	0.25	0.328	0.163	0.235	0.119	0.402	0.188	0.032	0.0
0.67142	0.293	0.189	0.079	0.251	0.233	0.458	0.524	0.703	0.517	0.17	0.226	0.05	0.174	0.135	0.323	0.793	0.729	0.041	0.165	0.229	0.222	0.239	0.215	0.239	0.176	0.168	0.274	0.44	0.209	0.366	0.363	0.254	0.272	0.257	0.315	0.313	0.308	0.261	0.409	0.474	0.288	0.491	0.211	0.11	0.109
0.83818	0.374	0.179	0.222	0.28	0.201	0.299	0.602	0.784	0.43	0.27	0.208	0.246	0.406	0.227	0.419	0.991	0.94	0.0	0.159	0.39	0.261	0.322	0.294	0.429	0.394	0.256	0.365	0.576	0.316	0.296	0.467	0.334	0.389	0.443	0.398	0.291	0.459	0.45	0.532	0.503	0.412	0.505	0.324	0.141	0.395
1.0048	0.43	0.369	0.227	0.338	0.321	0.332	0.59	0.812	0.548	0.312	0.243	0.38	0.444	0.178	0.476	1.015	1.021	0.393	0.156	0.332	0.279	0.212	0.34	0.419	0.516	0.336	0.456	0.604	0.399	0.417	0.427	0.409	0.61	0.43	0.595	0.352	0.451	0.579	0.71	0.636	0.414	0.563	0.318	0.247	0.423
1.17144	0.451	0.359	0.309	0.39	0.199	0.555	0.764	0.833	0.566	0.287	0.158	0.755	0.444	0.261	0.574	1.064	1.079	0.69	0.26	0.352	0.209	0.347	0.43	0.425	0.367	0.346	0.455	0.627	0.392	0.417	0.488	0.736	0.875	0.491	0.534	0.49	0.477	0.669	0.722	0.842	0.485	0.578	0.299	0.284	0.464
1.33802	0.646	0.493	0.084	0.416	0.307	0.5	0.773	0.887	0.702	0.321	0.244	1.081	0.447	0.263	0.62	1.147	1.171	0.627	0.34	0.517	0.339	0.458	0.469	0.576	0.56	0.417	0.542	0.708	0.558	0.42	0.581	0.676	1.09	0.527	0.589	0.576	0.678	0.736	0.852	0.997	0.588	0.681	0.424	0.439	0.82
1.50486	0.549	0.479	0.186	0.433	0.28	0.603	0.71	0.846	0.675	0.427	0.234	1.533	0.467	0.309	0.647	1.109	1.32	0.996	0.298	0.532	0.322	0.474	0.491	0.655	0.449	0.413	0.504	0.809	0.545	0.468	0.631	0.807	1.061	0.577	0.464	0.538	0.571	0.787	0.724	0.993	0.672	0.794	0.533	0.35	0.762
