	MG1655-1	GLUT1-3_1	GLUT1-10_1	GLUT4-1_1	GLUT8-6_1	kgtP-1	proV-1	ybjL-1	MG1655-2	GLUT1-3_2	GLUT1-10_2	GLUT4-1_2	GLUT8-6_2	kgtP-2	proV-2	ybjL-2	MG1655-3	GLUT1-3_3	GLUT1-10_3	GLUT4-1_3	GLUT8-6_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_sspA-1	kgtP_ybjL-1	kgtP_proV_ybjL-1	kgtP_proV-2	kgtP_sspA-1dup	kgtP_ybjL-2	kgtP_proV_ybjL-2	kgtP_proV-3	kgtP_sspA-3	kgtP_ybjL-3	kgtP_proV_ybjL-3
0.00494	2.703	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.034	0.0	0.079	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.17155	1.563	0.0	0.017	0.135	0.179	0.086	0.19	0.438	0.42	0.105	0.0	0.0	0.045	0.0	0.0	0.279	0.197	0.162	0.221	0.122	0.16	0.233	0.538	0.751	0.603	0.735	0.43	0.485	0.668	0.679	0.574	0.551	0.514	0.658	0.673	0.574
0.33821	1.09	0.188	0.202	0.468	0.334	0.419	0.393	0.834	0.523	0.195	0.185	0.283	0.064	0.237	0.372	0.608	0.417	0.361	0.381	0.309	0.281	0.503	0.773	0.972	0.912	0.485	0.619	0.597	0.806	0.506	0.788	0.686	0.529	0.478	0.834	0.841
0.50499	0.954	0.242	0.334	0.537	0.515	0.515	0.569	0.833	0.604	0.287	0.371	0.488	0.239	0.48	0.564	0.73	0.508	0.591	0.461	0.577	0.401	0.776	1.012	1.252	1.015	0.546	0.783	0.815	0.894	0.592	0.977	0.982	0.756	0.583	0.994	0.977
0.67159	1.005	0.368	0.486	0.653	0.582	0.524	0.741	0.984	0.74	0.386	0.523	0.635	0.411	0.464	0.665	1.0	0.768	0.646	0.775	0.732	0.516	0.799	1.102	1.407	1.122	0.757	0.857	0.999	0.908	0.83	0.968	1.11	0.729	0.762	1.066	1.049
0.83831	1.043	0.265	0.546	0.57	0.502	0.577	0.769	1.072	0.754	0.39	0.611	0.527	0.41	0.489	0.729	0.963	0.773	0.69	0.674	0.74	0.567	0.837	1.154	1.358	1.052	0.824	0.92	0.955	0.909	0.869	1.029	1.037	0.799	0.822	1.1	1.029
1.00497	0.748	0.303	0.64	0.601	0.591	0.581	0.829	1.221	0.739	0.449	0.65	0.615	0.47	0.46	0.826	0.927	0.75	0.82	0.85	0.836	0.681	0.879	1.317	1.475	1.034	0.894	0.933	1.024	0.992	0.939	1.151	1.048	0.762	0.916	1.138	1.068
1.17164	0.858	0.454	0.653	0.637	0.602	0.506	0.812	1.04	0.824	0.53	0.636	0.791	0.536	0.509	0.813	1.083	0.831	0.728	0.864	0.905	0.69	0.866	1.367	1.418	1.118	0.938	1.002	1.011	1.071	0.927	1.137	1.062	0.751	1.012	1.068	1.026
1.3384	0.7	0.448	0.619	0.71	0.594	0.635	0.886	1.034	0.782	0.538	0.714	0.616	0.498	0.513	0.809	0.916	0.755	0.672	0.942	0.817	0.651	0.918	1.288	1.426	0.99	0.936	0.942	0.84	1.05	0.98	1.076	1.113	0.749	0.979	1.034	0.965
1.50495	0.475	0.398	0.709	0.681	0.595	0.662	0.971	1.123	0.928	0.48	0.833	0.785	0.442	0.59	0.929	1.042	0.809	0.77	1.006	0.937	0.79	0.899	1.449	1.454	1.048	1.002	1.062	1.015	1.017	1.018	1.082	1.063	0.733	1.097	1.151	1.082
