	MG1655-1	OCTA1-9_1	OCTA2-14_1	OCTA5-4_1	OCTA7-2_1	stfE-1	gtrS-1	rlmH-1	MG1655-2	OCTA1-9_2	OCTA2-14_2	OCTA5-4_2	OCTA7-2_2	stfE-2	gtrS-2	rlmH-2	MG1655-3	OCTA1-9_3	OCTA2-14_3	OCTA5-4_3	OCTA7-2_3	stfE-3	gtrS-3	rlmH-3
0.00491	0.057	0.339	0.545	0.39	0.153	0.374	0.004	0.237	0.219	0.504	0.328	0.288	0.063	0.178	0.004	0.003	0.178	0.382	0.394	0.248	0.009	0.298	0.003	0.092
0.17154	0.0	0.227	0.347	0.051	0.065	0.254	0.025	0.0	0.11	0.303	0.297	0.172	0.0	0.142	0.0	0.025	0.085	0.268	0.363	0.133	0.03	0.119	0.0	0.0
0.3383	0.063	0.234	0.296	0.171	0.013	0.228	0.0	0.143	0.148	0.308	0.188	0.177	0.117	0.145	0.033	0.0	0.161	0.247	0.341	0.224	0.061	0.063	0.061	0.115
0.50505	0.134	0.248	0.368	0.242	0.0	0.187	0.044	0.131	0.19	0.238	0.232	0.248	0.132	0.104	0.105	0.044	0.056	0.233	0.327	0.154	0.048	0.051	0.048	0.16
0.67162	0.176	0.263	0.41	0.285	0.182	0.168	0.11	0.052	0.179	0.25	0.215	0.203	0.17	0.085	0.23	0.11	0.0	0.19	0.283	0.195	0.0	0.0	0.116	0.311
0.83827	0.265	0.267	0.243	0.431	0.128	0.171	0.17	0.169	0.182	0.196	0.218	0.292	0.23	0.145	0.148	0.113	0.175	0.165	0.286	0.255	0.174	0.032	0.176	0.371
1.00488	0.265	0.181	0.299	0.374	0.271	0.228	0.17	0.226	0.154	0.168	0.105	0.292	0.23	0.088	0.148	0.199	0.175	0.165	0.172	0.255	0.174	0.088	0.006	0.229
1.17169	0.347	0.149	0.239	0.37	0.296	0.224	0.167	0.308	0.179	0.25	0.187	0.317	0.256	0.141	0.145	0.195	0.114	0.161	0.254	0.365	0.171	0.086	0.116	0.282
1.33829	0.326	0.299	0.274	0.406	0.244	0.255	0.199	0.195	0.188	0.141	0.22	0.265	0.288	0.172	0.235	0.227	0.162	0.111	0.231	0.315	0.231	0.115	0.121	0.257
1.50493	0.23	0.174	0.178	0.396	0.234	0.332	0.104	0.187	0.177	0.131	0.21	0.255	0.363	0.163	0.253	0.218	0.289	0.186	0.136	0.304	0.193	0.134	0.197	0.247
1.67174	0.421	0.167	0.229	0.331	0.342	0.3	0.157	0.157	0.224	0.155	0.12	0.222	0.303	0.075	0.191	0.243	0.241	0.094	0.187	0.327	0.161	0.162	0.106	0.216
1.83847	0.389	0.248	0.254	0.327	0.255	0.272	0.157	0.443	0.303	0.125	0.09	0.333	0.387	0.104	0.275	0.242	0.227	0.148	0.157	0.295	0.162	0.136	0.161	0.33
2.00514	0.379	0.124	0.159	0.288	0.245	0.206	0.148	0.207	0.291	0.143	0.08	0.352	0.208	0.123	0.265	0.318	0.297	0.052	0.147	0.37	0.209	0.127	0.151	0.434
2.1718	0.41	0.213	0.191	0.377	0.248	0.351	0.293	0.352	0.21	0.203	0.168	0.27	0.324	0.126	0.268	0.236	0.359	0.141	0.207	0.289	0.24	0.215	0.155	0.437
2.33839	0.453	0.114	0.148	0.221	0.291	0.254	0.308	0.284	0.252	0.105	0.07	0.313	0.312	0.199	0.283	0.28	0.368	0.042	0.137	0.275	0.2	0.204	0.141	0.311
2.50512	0.46	0.206	0.184	0.285	0.298	0.345	0.23	0.374	0.259	0.055	0.077	0.263	0.375	0.205	0.29	0.399	0.377	0.106	0.144	0.282	0.149	0.153	0.205	0.515
2.67169	0.545	0.149	0.269	0.285	0.298	0.203	0.315	0.346	0.288	0.14	0.077	0.32	0.318	0.205	0.347	0.314	0.292	0.134	0.144	0.197	0.149	0.153	0.12	0.317
