	MG1655-1	HMDA7-1_1	rpsG1-1	nusA_sspA-1	ybeX-1	mpl-1	rpsG1_ybeX-1	rpsG1_mpl-1	MG1655-2	HMDA7-1_2	rpsG1-2	nusA_sspA-2	ybeX-2	mpl-2	rpsG1_ybeX-2	rpsG1_mpl-2	MG1655-3	HMDA7-1_3	rpsG1-3	nusA_sspA-3	ybeX-3	mpl-3	rpsG1_ybeX-3	rpsG1_mpl-3	rpsG1_ybeX_mpl-1	nusA_sspA_ybeX-1	nusA_sspA_mpl-1	nusA_sspA_ybeX_mpl-1	proV_ptsP-1	proV_ptsP_ybeX-1	proV_ptsP_mpl-1	proV_ptsP_ybeX_mpl-1	rpsG1_ybeX_mpl-2	nusA_sspA_ybeX-2	nusA_sspA_mpl-2	nusA_sspA_ybeX_mpl-2	proV_ptsP-2	proV_ptsP_ybeX-2	proV_ptsP_mpl-2	proV_ptsP_ybeX_mpl-2	rpsG1_ybeX_mpl-3	nusA_sspA_ybeX-3	nusA_sspA_mpl-3	nusA_sspA_ybeX_mpl-3	proV_ptsP-3	proV_ptsP_ybeX-3	proV_ptsP_mpl-3	proV_ptsP_ybeX_mpl-3
0.00506	0.0	0.096	0.0	0.065	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.035	0.004	0.0	0.0	0.0	0.0	0.0	0.005	0.034	0.0	0.0	0.035	0.0	0.039	0.0	0.022	0.059	-0.005	0.0	0.0	0.0	0.037	0.03	0.0	0.025	0.099	-0.139	0.06	0.0	0.0	0.062	0.123	0.0	0.064	0.069	0.056	0.0
0.17177	0.126	0.026	0.125	0.0	0.058	0.154	0.123	0.347	0.194	0.0	0.122	0.0	0.0	0.06	0.063	0.126	0.124	0.09	0.0	0.0	0.092	0.028	0.0	0.097	0.0	0.027	0.153	0.187	0.09	0.128	0.029	0.066	0.0	0.058	0.222	0.186	0.0	-0.008	0.089	0.03	0.025	0.09	0.186	0.163	0.0	0.0	0.089	0.238
0.33847	0.52	0.0	0.229	0.007	0.419	0.548	0.388	0.676	0.428	0.104	0.386	0.071	0.135	0.389	0.232	0.455	0.357	0.097	0.103	0.072	0.131	0.292	0.104	0.396	0.168	0.0	0.0	0.0	0.0	0.232	0.068	0.073	0.168	0.0	0.099	0.0	0.103	0.0	0.064	0.037	0.193	0.0	0.0	0.01	0.072	0.007	0.0	0.151
0.50508	0.617	0.129	0.326	0.104	0.451	0.645	0.42	0.902	0.46	0.233	0.322	0.168	0.426	0.679	0.361	0.714	0.551	0.226	0.136	0.168	0.293	0.518	0.169	0.493	0.297	0.194	0.097	0.065	0.0	0.297	0.068	0.138	0.362	0.162	0.131	0.0	0.136	0.064	0.0	0.069	0.386	0.226	0.096	0.042	0.104	0.039	0.064	0.054
0.67184	0.654	0.198	0.298	0.238	0.617	0.746	0.424	0.907	0.626	0.302	0.52	0.269	0.527	0.748	0.431	0.815	0.652	0.295	0.237	0.173	0.426	0.684	0.174	0.595	0.398	0.295	0.263	0.102	0.102	0.205	0.137	0.175	0.398	0.263	0.297	0.199	0.205	0.07	0.198	0.267	0.423	0.359	0.198	0.403	0.206	0.043	0.263	0.287
0.83847	0.706	0.285	0.416	0.29	0.703	0.735	0.51	0.96	0.742	0.419	0.509	0.355	0.58	0.834	0.547	0.803	0.641	0.413	0.42	0.387	0.609	0.77	0.355	0.614	0.387	0.478	0.347	0.445	0.219	0.386	0.222	0.259	0.452	0.381	0.415	0.445	0.387	0.185	0.251	0.32	0.38	0.413	0.38	0.357	0.29	0.032	0.347	0.173
1.0052	0.711	0.321	0.324	0.489	0.707	0.836	0.482	1.062	0.715	0.424	0.481	0.489	0.617	0.871	0.52	0.905	0.71	0.417	0.327	0.457	0.678	0.774	0.36	0.619	0.488	0.515	0.449	0.45	0.224	0.391	0.259	0.329	0.456	0.482	0.613	0.482	0.392	0.158	0.288	0.357	0.481	0.546	0.288	0.362	0.295	0.23	0.352	0.341
1.17181	0.642	0.414	0.383	0.419	0.703	0.832	0.51	1.057	0.71	0.484	0.477	0.645	0.677	0.866	0.515	0.932	0.834	0.51	0.323	0.516	0.673	0.963	0.259	0.678	0.452	0.575	0.347	0.445	0.316	0.483	0.351	0.356	0.452	0.639	0.48	0.445	0.419	0.25	0.444	0.352	0.574	0.606	0.444	0.454	0.387	0.291	0.476	0.431
1.33842	0.746	0.42	0.423	0.491	0.645	0.968	0.323	1.064	0.621	0.427	0.483	0.459	0.62	0.873	0.652	0.94	0.809	0.581	0.426	0.524	0.616	0.809	0.363	0.686	0.49	0.679	0.355	0.549	0.42	0.523	0.391	0.364	0.491	0.549	0.713	0.485	0.426	0.29	0.484	0.424	0.483	0.646	0.484	0.591	0.363	0.297	0.484	0.442
1.50514	0.739	0.444	0.416	0.421	0.733	0.894	0.508	1.217	0.78	0.453	0.539	0.42	0.742	0.898	0.615	1.097	0.866	0.637	0.418	0.518	0.835	0.899	0.486	0.716	0.675	0.703	0.515	0.576	0.544	0.551	0.513	0.393	0.515	0.607	0.738	0.578	0.42	0.385	0.575	0.547	0.506	0.671	0.673	0.589	0.488	0.322	0.578	0.577
