ReferenceSeq	Position	MutationType	Gene	Details	12PD_A1_F50_I1_R1	12PD_A1_F50_I2_R1	12PD_A1_F50_I3_R1	12PD_A2_F50_I1_R1	12PD_A2_F50_I2_R1	12PD_A3_F50_I1_R1	12PD_A3_F50_I2_R1	12PD_A3_F50_I3_R1	12PD_A4_F50_I1_R1	12PD_A4_F50_I2_R1	12PD_A4_F50_I3_R1	12PD_A5_F50_I1_R1	12PD_A5_F50_I2_R1	12PD_A6_F50_I1_R1	12PD_A6_F50_I2_R1	12PD_A7_F50_I1_R1	12PD_A7_F50_I2_R1	12PD_A8_F50_I1_R1	12PD_A8_F50_I2_R1	12PD_A8_F50_I3_R1	23BD_A1_F50_I1_R1	23BD_A1_F50_I2_R1	23BD_A2_F50_I1_R1	23BD_A2_F50_I2_R1	23BD_A2_F50_I3_R1	23BD_A3_F50_I1_R1	23BD_A3_F50_I2_R1	23BD_A3_F50_I3_R1	23BD_A4_F50_I1_R1	23BD_A4_F50_I2_R1	23BD_A4_F50_I3_R1	23BD_A5_F50_I1_R1	23BD_A5_F50_I2_R1	23BD_A5_F50_I3_R1	23BD_A6_F50_I1_R1	23BD_A7_F50_I1_R1	23BD_A7_F50_I2_R1	23BD_A7_F50_I3_R1	23BD_A8_F50_I1_R1	23BD_A8_F50_I2_R1	ADIP_A1_F50_I1_R1	ADIP_A1_F50_I2_R1	ADIP_A2_F50_I1_R1	ADIP_A2_F50_I2_R1	ADIP_A2_F50_I3_R1	ADIP_A3_F50_I1_R1	ADIP_A3_F50_I2_R1	ADIP_A3_F50_I3_R1	ADIP_A4_F50_I1_R1	ADIP_A4_F50_I2_R1	ADIP_A5_F50_I1_R1	ADIP_A5_F50_I2_R1	ADIP_A6_F50_I1_R1	ADIP_A6_F50_I2_R1	ADIP_A6_F50_I3_R1	ADIP_A7_F50_I1_R1	ADIP_A7_F50_I2_R1	ADIP_A8_F50_I1_R1	ADIP_A8_F50_I2_R1	ADIP_A8_F50_I3_R1	COUM_A1_F50_I1_R1	COUM_A2_F50_I1_R1	COUM_A2_F50_I2_R1	COUM_A2_F50_I3_R1	COUM_A3_F50_I1_R1	COUM_A3_F50_I2_R1	COUM_A3_F50_I3_R1	COUM_A4_F50_I1_R1	COUM_A4_F50_I2_R1	COUM_A4_F50_I3_R1	COUM_A5_F50_I1_R1	COUM_A5_F50_I2_R1	COUM_A5_F50_I3_R1	COUM_A6_F50_I1_R1	COUM_A6_F50_I2_R1	COUM_A6_F50_I3_R1	COUM_A7_F50_I1_R1	COUM_A7_F50_I2_R1	COUM_A8_F50_I1_R1	COUM_A8_F50_I2_R1	GLUT_A1_F50_I1_R1	GLUT_A1_F50_I2_R1	GLUT_A1_F50_I3_R1	GLUT_A2_F50_I1_R1	GLUT_A2_F50_I2_R1	GLUT_A2_F50_I3_R2	GLUT_A3_F50_I1_R1	GLUT_A3_F50_I2_R2	GLUT_A3_F50_I3_R1	GLUT_A4_F50_I1_R1	GLUT_A4_F50_I2_R2	GLUT_A4_F50_I3_R1	GLUT_A5_F50_I1_R1	GLUT_A5_F50_I2_R1	GLUT_A5_F50_I3_R2	GLUT_A6_F50_I1_R1	GLUT_A6_F50_I2_R2	GLUT_A6_F50_I3_R1	GLUT_A7_F50_I1_R2	GLUT_A7_F50_I2_R1	GLUT_A7_F50_I3_R2	GLUT_A8_F50_I1_R2	GLUT_A8_F50_I2_R1	GLUT_A8_F50_I3_R1	HMDA_A1_F50_I1_R1	HMDA_A2_F50_I1_R1	HMDA_A2_F50_I2_R1	HMDA_A3_F50_I1_R1	HMDA_A3_F50_I2_R1	HMDA_A3_F50_I3_R1	HMDA_A4_F50_I1_R1	HMDA_A4_F50_I2_R1	HMDA_A4_F50_I3_R1	HMDA_A5_F50_I1_R1	HMDA_A5_F50_I2_R1	HMDA_A5_F50_I3_R1	HMDA_A6_F50_I1_R1	HMDA_A6_F50_I2_R1	HMDA_A7_F50_I1_R1	HMDA_A7_F50_I2_R1	HMDA_A7_F50_I3_R1	HMDA_A8_F50_I1_R1	HMDA_A8_F50_I2_R1	HMDA_A8_F50_I3_R1	HEXA_A1_F50_I1_R1	HEXA_A1_F50_I2_R1	HEXA_A1_F50_I3_R1	HEXA_A2_F50_I1_R1	HEXA_A2_F50_I2_R1	HEXA_A2_F50_I3_R1	HEXA_A3_F50_I1_R1	HEXA_A3_F50_I2_R1	HEXA_A3_F50_I3_R1	HEXA_A4_F50_I1_R1	HEXA_A4_F50_I2_R1	HEXA_A4_F50_I3_R1	HEXA_A5_F50_I1_R1	HEXA_A5_F50_I2_R1	HEXA_A5_F50_I3_R1	HEXA_A5_F50_I4_R1	HEXA_A6_F50_I1_R1	HEXA_A7_F50_I1_R1	HEXA_A7_F50_I2_R1	HEXA_A7_F50_I3_R1	IBUA_A1_F50_I1_R1	IBUA_A1_F50_I2_R1	IBUA_A2_F50_I1_R1	IBUA_A2_F50_I2_R1	IBUA_A2_F50_I3_R1	IBUA_A3_F50_I1_R1	IBUA_A3_F50_I2_R1	IBUA_A4_F50_I1_R1	IBUA_A4_F50_I2_R1	IBUA_A4_F50_I3_R1	IBUA_A5_F50_I1_R1	IBUA_A5_F50_I2_R1	IBUA_A6_F50_I1_R1	IBUA_A6_F50_I2_R1	IBUA_A7_F50_I1_R1	IBUA_A7_F50_I2_R1	IBUA_A7_F50_I3_R1	IBUA_A8_F50_I1_R1	IBUA_A8_F50_I2_R1	IBUA_A8_F50_I3_R1	BUT_A1_F50_I1_R1	BUT_A1_F50_I2_R1	BUT_A1_F50_I3_R1	BUT_A2_F50_I1_R1	BUT_A3_F50_I1_R1	BUT_A3_F50_I2_R1	BUT_A3_F50_I3_R1	BUT_A4_F50_I1_R1	BUT_A4_F50_I2_R1	BUT_A4_F50_I3_R1	BUT_A5_F50_I1_R1	BUT_A5_F50_I2_R1	BUT_A6_F50_I1_R1	BUT_A6_F50_I2_R1	BUT_A6_F50_I3_R1	BUT_A7_F50_I1_R1	BUT_A7_F50_I2_R1	BUT_A7_F50_I3_R1	BUT_A8_F50_I1_R1	BUT_A8_F50_I2_R1	OCTA_A1_F50_I1_R1	OCTA_A1_F50_I2_R1	OCTA_A1_F50_I3_R1	OCTA_A2_F50_I1_R1	OCTA_A2_F50_I2_R1	OCTA_A2_F50_I3_R1	OCTA_A3_F50_I1_R1	OCTA_A3_F50_I2_R1	OCTA_A3_F50_I3_R1	OCTA_A4_F50_I1_R1	OCTA_A4_F50_I2_R1	OCTA_A4_F50_I3_R1	OCTA_A5_F50_I1_R1	OCTA_A5_F50_I2_R1	OCTA_A5_F50_I3_R1	OCTA_A6_F50_I1_R1	OCTA_A6_F50_I2_R1	OCTA_A6_F50_I3_R1	OCTA_A7_F50_I1_R1	OCTA_A7_F50_I2_R1	PUTR_A1_F50_I1_R1	PUTR_A1_F50_I2_R1	PUTR_A2_F50_I1_R1	PUTR_A2_F50_I2_R1	PUTR_A2_F50_I3_R1	PUTR_A3_F50_I1_R1	PUTR_A3_F50_I2_R1	PUTR_A3_F50_I3_R1	PUTR_A4_F50_I1_R1	PUTR_A4_F50_I2_R1	PUTR_A4_F50_I3_R1	PUTR_A5_F50_I1_R1	PUTR_A5_F50_I2_R1	PUTR_A5_F50_I3_R1	PUTR_A6_F50_I1_R1	PUTR_A6_F50_I2_R1	PUTR_A6_F50_I3_R1	PUTR_A7_F50_I1_R1	PUTR_A7_F50_I2_R1	PUTR_A7_F50_I3_R1	NaCl_A1_F82_I1_R1	NaCl_A2_F82_I1_R1	NaCl_A3_F82_I1_R1	NaCl_A4_F82_I1_R1	NaCl_A5_F82_I1_R1	NaCl_A6_F85_I1_R1	GLUC_A3_F412_I1_R1	GLUC_A4_F403_I1_R1	GLUC_A4_F403_I2_R1	GLUC_A4_F403_I3_R1	GLUC_A5_F150_I1_R1	GLUC_A6_F406_I1_R1	GLUC_A6_F406_I2_R1	GLUC_A6_F406_I3_R1	GLUC_A7_F88_I1_R1	GLUC_A7_F88_I2_R1	GLUC_A8_F380_I1_R1	GLUC_A8_F380_I2_R1	GLUC_A8_F380_I3_R1	GLUC_A9_F433_I1_R1	GLUC_A9_F433_I2_R1	GLUC_A9_F433_I3_R1	GLUC_A10_F418_I1_R1	GLUC_A10_F418_I2_R1	GLUC_A10_F418_I3_R1
NC_000913	2374	SNP	thrA	A680S(GCG_TCG)																																																																															1																																																																																																																																																																										
NC_000913	7361	SNP	yaaJ	V200A(GTC_GCC)																1																																																																																																																																																																																																																																									
NC_000913	7618	SNP	yaaJ	Q114H(CAA_CAC)																																																																																																																						1																																																																																																																																			
NC_000913	10463	SNP	satP	P11L(CCG_CTG)							1																																																																																																																																																																																																																																																		
NC_000913	11664	SNP	yaaI	D41E(GAT_GAG)																																																																																																																					1	1																																																																																																																																			
NC_000913	13865	SNP	dnaK	A568V(GCG_GTG)																										1	1	1																																																																																																																																																																																																																													
NC_000913	14991	SNP	dnaJ	A275V(GCG_GTG)																	1																																																																																																																																																																																																																																								
NC_000913	16804	SNP	hokC	I34V(ATC_GTC)	1																																																																																																																																																																																																																																																								
NC_000913	17237	SNP	"mokC, nhaA"	intergenic(-277/-252)																			1																																																																																																																																																																																																																																						
NC_000913	17348	SNP	"mokC, nhaA"	intergenic(-388/-141)							1																																																																																																																																																																																																																																																		
NC_000913	20771	SNP	"insA, rpsT"	intergenic(-263/+44)																																																																																																																																																	1																																																																																																								
NC_000913	22105	SNP	ribF	G233G(GGT_GGG)																																																			1																																																																																																																																																																																																						
NC_000913	24819	SNP	ileS	D810G(GAC_GGC)																		1	1	1																																																																																																																																																																																																																																					
NC_000913	25559	SNP	lspA	H118R(CAC_CGC)								1																																																																																																																																																																																																																																																	
NC_000913	28094	SNP	rihC	V268M(GTG_ATG)						1																																																																																																																																																																																																																																																			
NC_000913	33755	SNP	carB	V980A(GTG_GCG)																				1																																																																																																																																																																																																																																					
NC_000913	34120	DEL	"carB, caiF"	intergenic(+82/-180)								1										1	1	1																																																																																																																																																																																	1																																																				
NC_000913	34876	SNP	caiE	C166R(TGT_CGT)				1	1																																																																																																																																																																																																																																																				
NC_000913	37693	SNP	caiC	N44K(AAT_AAG)																																																																																																																																																						1																																																																																																			
NC_000913	38511	SNP	caiB	E202A(GAA_GCA)																																																				1																																																																																																																																																																																																					
NC_000913	39079	SNP	caiB	A13T(GCC_ACC)																		1	1	1																																																																																																																																																																																																																																					
NC_000913	39967	SNP	caiA	Y140Y(TAT_TAC)																	1																																																																																																																																																																																																																																								
NC_000913	40408	SNP	"caiA, caiT"	intergenic(-22/+9)																																																																																																																																																																																																																																																									
NC_000913	41317	SNP	caiT	G205G(GGT_GGC)												1	1																																																																																																																																																																																																																																												
NC_000913	44310	SNP	fixC	N44S(AAC_AGC)				1	1																																																																																																																																																																																																																																																				
NC_000913	44792	SNP	fixC	N205D(AAT_GAT)																	1																																																																																																																																																																																																																																								
NC_000913	46040	SNP	yaaU	D78E(GAT_GAG)																																																			1																																																																																																																																																																																																						
NC_000913	46153	SNP	yaaU	I116S(ATC_AGC)																																																			1	1																																																																																																																																																																																																					
NC_000913	46879	SNP	yaaU	Y358S(TAT_TCT)																																																			1																																																																																																																																																																																																						
NC_000913	47849	SNP	kefC	G27G(GGT_GGC)											1																																																																																																																																																																																																																																														
NC_000913	48048	SNP	kefC	M94V(ATG_GTG)					1																																																																																																																																																																																																																																																				
NC_000913	49990	SNP	folA	G56G(GGA_GGG)																		1																																																																																																																																																																																																																																							
NC_000913	51091	SNP	apaH	G44G(GGT_GGC)												1																																																																																																																																																																																																																																													
NC_000913	51996	SNP	rsmA	V145V(GTG_GTA)																			1	1																																																																																																																																																																																																																																					
NC_000913	52332	SNP	rsmA	I33M(ATT_ATG)																																																																																																																					1	1																																																																																																																																			
NC_000913	54593	SNP	surA	V37A(GTG_GCG)								1																																																																																																																																																																																																																																																	
NC_000913	56483	SNP	lptD	P209P(CCG_CCA)																											1																																																																																																																																																																																																																														
NC_000913	57698	SNP	djlA	R112H(CGC_CAC)								1																																																																																																																																																																																																																																																	
NC_000913	60012	SNP	rluA	D112V(GAT_GTT)	1																																																																																																																																																																																																																																																								
NC_000913	61420	SNP	rapA	K615N(AAA_AAC)																																																			1																																																																																																																																																																																																						
NC_000913	62084	SNP	rapA	E394A(GAA_GCA)																																																			1																																																																																																																																																																																																						
NC_000913	64352	SNP	polB	R477G(CGC_GGC)																																																													1																																									1	1	1																																																																																																																																																	
NC_000913	64950	SNP	polB	G277G(GGT_GGC)																										1																																																																																																																																																																																																																															
NC_000913	67096	SNP	araA	K414K(AAA_AAG)																		1																																																																																																																																																																																																																																							
NC_000913	67483	SNP	araA	L285L(CTG_CTA)																																																																																																																	1																																																																																																																																								
NC_000913	73145	SNP	thiP	K459K(AAA_AAG)				1																																																																																																																																																																																																																																																					
NC_000913	73316	SNP	thiP	Q402H(CAA_CAC)																																																				1																																																																																																																																																																																																					
NC_000913	74829	DEL	thiB	coding(652/984nt)																										1																																																																																																																																																																																																																															
NC_000913	76552	SNP	sgrR	I250L(ATC_CTC)																																																				1																																																																																																																																																																																																					
NC_000913	77913	SNP	setA	A98V(GCA_GTA)								1																																																																																																																																																																																																																																																	
NC_000913	79403	SNP	leuD	A17A(GCC_GCT)																											1																																																																																																																																																																																																																														
NC_000913	82372	SNP	leuA	E386E(GAA_GAG)																																																																																																															1	1	1																																																																																																																																								
NC_000913	82440	SNP	leuA	A364S(GCG_TCG)	1																																																																																																																																																																																																																																																								
NC_000913	82594	SNP	leuA	E312D(GAA_GAC)																																																																																																																																																																									1																																																																																
NC_000913	83066	SNP	leuA	V155G(GTC_GGC)																																																																																																																					1	1																																																																																																																																			
NC_000913	83522	SNP	leuA	Q3P(CAG_CCG)																																																			1																																																																																																																																																																																																						
NC_000913	83679	DEL	leuL	coding(28-30/87nt)																																																																																																																																																																																																																															1																										
NC_000913	84013	INS	"leuL, leuO"	intergenic(-305/-355)																																																																																																																																																																																																																																																									
NC_000913	87381	SNP	ilvH	L9F(CTC_TTC)																																																																																																																																																																		1	1																																																																																						
NC_000913	89556	SNP	"cra, mraZ"	intergenic(+524/-78)																																																																																																																																																																																																					1	1	1																																																		
NC_000913	92324	SNP	ftsI	E304E(GAA_GAG)								1																																																																																																																																																																																																																																																	
NC_000913	92682	SNP	ftsI	T424A(ACA_GCA)												1	1																																																																																																																																																																																																																																												
NC_000913	92775	SNP	ftsI	G455S(GGT_AGT)																		1																																																																																																																																																																																																																																							
NC_000913	93668	SNP	murE	E168G(GAG_GGG)																										1	1	1																																																																																																																																																																																																																													
NC_000913	95768	SNP	murF	V373V(GTA_GTG)				1																																																																																																																																																																																																																																																					
NC_000913	96085	SNP	mraY	V28V(GTC_GTT)		1																																																																																																																																																																																																																																																							
NC_000913	96614	SNP	mraY	T205A(ACC_GCC)																1																																																																																																																																																																																																																																									
NC_000913	96645	SNP	mraY	V215A(GTG_GCG)				1	1																																																																																																																																																																																																																																																				
NC_000913	97947	SNP	murD	R287R(CGT_CGC)																										1	1	1																																																																																																																																																																																																																													
NC_000913	99341	SNP	ftsW	V313V(GTG_GTT)																																																			1	1																																																																																																																																																																																																					
NC_000913	99891	SNP	murG	A83V(GCC_GTC)																																																																																																																																														1	1	1																																																																																																									
NC_000913	100657	SNP	murG	I338M(ATT_ATG)																																																																																																																																																						1																																																																																																			
NC_000913	102228	DEL	murC	coding(1464/1476nt)																																																														1	1	1																																																																																																																																																																																									
NC_000913	104664	SNP	ftsA	H228R(CAC_CGC)																										1																																																																																																																																																																																																																															
NC_000913	109644	SNP	secA	T456A(ACT_GCT)	1																																																																																																																																																																																																																																																								
NC_000913	111028	INS	"secA, mutT"	intergenic(+44/-16)																																																																																																																																																						1																																																																																																			
NC_000913	111300	SNP	mutT	L86P(CTG_CCG)																																																																																																																					1	1																																																																																																																																			
NC_000913	111305	SNP	mutT	E88*(GAA_TAA)																																																			1	1																																																																																																																																																																																																					
NC_000913	111399	SNP	mutT	N119S(AAT_AGT)																		1																																																																																																																																																																																																																																							
NC_000913	111683	SNP	yacG	E55G(GAA_GGA)		1																																																																																																																																																																																																																																																							
NC_000913	112052	SNP	zapD	K183T(AAA_ACA)																																																																																																																					1	1																																																																																																																																			
NC_000913	112720	SNP	coaE	A167V(GCC_GTC)																											1																																																																																																																																																																																																																														
NC_000913	113104	SNP	coaE	V39A(GTG_GCG)							1																																																																																																																																																																																																																																																		
NC_000913	115331	SNP	hofC	G132S(GGT_AGT)	1																																																																																																																																																																																																																																																								
